fine_grained_class_index,fine_grained_class,coarse_grained_class,coarse_grained_class_index
172,[Something] falling like a feather or paper,Something falling,34
173,[Something] falling like a rock,Something falling,34
37,Moving [something] and [something] so they collide with each other,Something passing/hitting another thing,35
38,Moving [something] and [something] so they pass each other,Something passing/hitting another thing,35
132,Spilling [something] next to [something],Spilling something,36
133,Spilling [something] onto [something],Spilling something,36
131,Spilling [something] behind [something],Spilling something,36
134,Spinning [something] so it continues spinning,Spinning something,37
135,Spinning [something] that quickly stops spinning,Spinning something,37
97,Pushing [something] so it spins,Spinning something,37
136,Spreading [something] onto [something],Spreading something onto something,38
78,Pretending to spread air onto [something],Spreading something onto something,38
79,Pretending to sprinkle air onto [something],Sprinkling something onto something,39
137,Sprinkling [something] onto [something],Sprinkling something onto something,39
138,Squeezing [something],Squeezing something,40
80,Pretending to squeeze [something],Squeezing something,40
139,Stacking [number of] [something],Stacking or placing N things,41
102,Putting [number of] [something] onto [something],Stacking or placing N things,41
140,Stuffing [something] into [something],Stuffing/Taking out,42
142,Taking [something] from [somewhere],Taking something,43
81,Pretending to take [something] from [somewhere],Taking something,43
145,Tearing [something] just a little bit,Tearing something,44
65,Pretending to be tearing [something that is not tearable],Tearing something,44
144,Tearing [something] into two pieces,Tearing something,44
147,Throwing [something] against [something],Throwing something,45
146,Throwing [something],Throwing something,45
148,Throwing [something] in the air and catching it,Throwing something,45
83,Pretending to throw [something],Throwing something,45
149,Throwing [something] in the air and letting it fall,Throwing something,45
150,Throwing [something] onto a surface,Throwing something,45
154,"Tipping [something] with [something in it] over, so [something in it] falls out",Tipping something over,46
153,Tipping [something] over,Tipping something over,46
84,Pretending to turn [something] upside down,Turning something upside down,47
159,Turning [something] upside down,Turning something upside down,47
164,Twisting (wringing) [something] wet until water comes out,Twisting something,48
64,Pretending or trying and failing to twist [something],Twisting something,48
165,Twisting [something],Twisting something,48
63,Pretending or failing to wipe [something] off of [something],Wiping something off of something,49
168,Wiping [something] off of [something],Wiping something off of something,49
