fine_grained_class,count
Pushing [something] so that it almost falls off but doesn't,962
Pushing [something] so that it falls off the table,1687
Pushing [something] so that it slightly moves,1874
Pushing [something] with [something],1452
Putting [number of] [something] onto [something],955
Putting [something similar to other things that are already on the table],1766
"Putting [something that cannot actually stand upright] upright on the table, so it falls on its side",591
Putting [something] and [something] on the table,1103
Putting [something] behind [something],1204
Putting [something] in front of [something],837
Putting [something] into [something],2188
Putting [something] next to [something],2031
Putting [something] on a flat surface without letting it roll,396
Putting [something] on a surface,3284
Putting [something] on the edge of [something] so it is not supported and falls down,507
Putting [something] onto [something else that cannot support it] so it falls down,364
Putting [something] onto [something],1608
Putting [something] onto a slanted surface but it doesn't glide down,156
"Putting [something] that can't roll onto a slanted surface, so it slides down",368
"Putting [something] that can't roll onto a slanted surface, so it stays where it is",361
Putting [something] underneath [something],609
Putting [something] upright on the table,733
"Putting [something], [something] and [something] on the table",982
"Removing [something], revealing [something] behind",903
Rolling [something] on a flat surface,1255
Scooping [something] up with [something],936
Showing [something] behind [something],1678
Showing [something] next to [something],832
Showing [something] on top of [something],922
Showing [something] to the camera,709
Showing a photo of [something] to the camera,837
Showing that [something] is empty,1638
Showing that [something] is inside [something],1213
Spilling [something] behind [something],111
Spilling [something] next to [something],162
Spilling [something] onto [something],266
Spinning [something] so it continues spinning,747
Spinning [something] that quickly stops spinning,1071
Spreading [something] onto [something],415
Sprinkling [something] onto [something],400
Squeezing [something],1936
Stacking [number of] [something],1032
Stuffing [something] into [something],1379
Taking [one of many similar things on the table],2275
Taking [something] from [somewhere],1032
Taking [something] out of [something],1699
Tearing [something] into two pieces,1736
Tearing [something] just a little bit,1285
Throwing [something],2254
Throwing [something] against [something],1254
Throwing [something] in the air and catching it,943
Throwing [something] in the air and letting it fall,774
Throwing [something] onto a surface,875
Tilting [something] with [something] on it slightly so it doesn't fall down,604
Tilting [something] with [something] on it until it falls off,928
Tipping [something] over,441
"Tipping [something] with [something in it] over, so [something in it] falls out",326
Touching (without moving) [part] of [something],1471
Trying but failing to attach [something] to [something] because it doesn't stick,471
Trying to bend [something unbendable] so nothing happens,748
"Trying to pour [something] into [something], but missing so it spills next to it",183
Turning [something] upside down,2058
Turning the camera downwards while filming [something],867
Turning the camera left while filming [something],1029
Turning the camera right while filming [something],1018
Turning the camera upwards while filming [something],851
Twisting (wringing) [something] wet until water comes out,240
Twisting [something],724
Uncovering [something],2426
Unfolding [something],840
Wiping [something] off of [something],539
[Something] being deflected from [something],327
[Something] colliding with [something] and both are being deflected,462
[Something] colliding with [something] and both come to a halt,448
[Something] falling like a feather or paper,1100
[Something] falling like a rock,1390
